transaction_id,note_id,score
TR00000001,N0079,0.8693783082280839
TR00000001,N0007,0.5549204366547721
TR00000001,N0022,0.5474487679345267
TR00000001,N0081,0.4471429300308228
TR00000001,N0014,0.4424070596694946
TR00000001,N0036,0.4392007112503052
TR00000001,N0038,0.42608596086502076
TR00000001,N0073,0.42318423986434933
TR00000001,N0023,0.4002541422843933
TR00000001,N0032,0.4002541422843933
TR00000002,N0079,0.594020220211574
TR00000002,N0007,0.5681916849953788
TR00000002,N0022,0.552352203641619
TR00000002,N0060,0.5038992595672607
TR00000002,N0078,0.5028760521752493
TR00000002,N0001,0.5014679997307914
TR00000002,N0073,0.48169164180755614
TR00000002,N0003,0.4794143748283386
TR00000002,N0070,0.45409804105758667
TR00000002,N0036,0.45201337337493896
TR00000003,N0022,0.6103580066135952
TR00000003,N0007,0.6050532409123013
TR00000003,N0079,0.5909532737731935
TR00000003,N0056,0.5457799553871154
TR00000003,N0020,0.5439823389053344
TR00000003,N0072,0.47107483148574825
TR00000003,N0041,0.46412360191345214
TR00000003,N0013,0.46191812753677364
TR00000003,N0081,0.4582040739059448
TR00000003,N0034,0.4542818427085876
TR00000004,N0001,0.9669628810882569
TR00000004,N0017,0.6491648077964782
TR00000004,N0007,0.6319124460220337
TR00000004,N0022,0.6215118765830994
TR00000004,N0045,0.5987151575088501
TR00000004,N0078,0.5669205379486084
TR00000004,N0018,0.5425821375846863
TR00000004,N0043,0.5251556992530823
TR00000004,N0040,0.5125279307365418
TR00000004,N0028,0.5056723117828369
TR00000005,N0017,0.9504608583450318
TR00000005,N0079,0.6787335773876735
TR00000005,N0001,0.6577860355377196
TR00000005,N0007,0.6391764402389526
TR00000005,N0022,0.634096086025238
TR00000005,N0043,0.586270637512207
TR00000005,N0028,0.5583671164512635
TR00000005,N0045,0.45871667861938475
TR00000005,N0060,0.4397701263427734
TR00000005,N0003,0.42681065797805784
TR00000006,N0007,0.6085361787251065
TR00000006,N0022,0.6000390120915005
TR00000006,N0014,0.5583681344985961
TR00000006,N0036,0.5563007593154907
TR00000006,N0038,0.5407086849212647
TR00000006,N0081,0.5319692969322205
TR00000006,N0073,0.4821866703033447
TR00000006,N0056,0.4808164548873901
TR00000006,N0070,0.4558374357223511
TR00000006,N0013,0.45395922660827637
TR00000007,N0007,0.5636763828141349
TR00000007,N0022,0.5546104448182242
TR00000007,N0004,0.4525076866149902
TR00000007,N0023,0.39926007986068723
TR00000007,N0032,0.39926007986068723
TR00000007,N0066,0.39926007986068723
TR00000007,N0057,0.3851049542427063
TR00000007,N0026,0.38248243331909176
TR00000007,N0062,0.38248243331909176
TR00000007,N0006,0.37603901624679564
